X;Y;REGION
353991.9;7635514.7;1
353985.8;7635526.3;1
353966.7;7635528.2;1
353941.1;7635535.5;1
353925.3;7635541.5;1
353910.5;7635548.8;1
353895.4;7635571.5;1
353889.8;7635578;1
353881;7635579.9;1
353872.7;7635578.7;1
353866.9;7635574.5;1
353864.7;7635568.3;1
353864.5;7635563;1
353863.1;7635553.6;1
353857.3;7635549.9;1
353850.9;7635543;1
353850.9;7635537.9;1
353852.2;7635534;1
353854.6;7635530.9;1
353863.2;7635523.6;1
353861.9;7635521;1
353853.8;7635516;1
353853.7;7635514.6;1
353858.1;7635500.8;1
353859.9;7635498.6;1
353859.3;7635493.3;1
353863.5;7635485.9;1
353862;7635482.7;1
353858.4;7635478.8;1
353859;7635476;1
353856.5;7635469.6;1
353849.7;7635463.2;1
353846.3;7635462.6;1
353842.6;7635463.8;1
353841.5;7635466.6;1
353842.6;7635473.3;1
353834.7;7635473.5;1
353834.7;7635475.4;1
353840.1;7635481.2;1
353838.9;7635487.1;1
353839.6;7635492.8;1
353848.3;7635502.2;1
353845.9;7635504.6;1
353844.8;7635512.9;1
353845.7;7635515.4;1
353847.7;7635518.3;1
353846.2;7635522;1
353841.4;7635528.5;1
353842.9;7635531.6;1
353845.3;7635533.7;1
353845.6;7635537.3;1
353839.8;7635535.7;1
353838;7635539.1;1
353832.9;7635540;1
353828.9;7635539.7;1
353825.9;7635536.1;1
353823.1;7635530.9;1
353819.4;7635534.7;1
353822.7;7635545.7;1
353820.5;7635549.3;1
353817.3;7635551.9;1
353810.9;7635550;1
353807.1;7635548.9;1
353805.1;7635553.1;1
353801.3;7635555.7;1
353796;7635554.9;1
353792.3;7635548.4;1
353793.5;7635537;1
353787.5;7635528.7;1
353783.7;7635525.4;1
353780.7;7635525.8;1
353777.5;7635529;1
353776.3;7635533.3;1
353777.6;7635537.6;1
353776.5;7635541.9;1
353778;7635548.4;1
353786.7;7635559.9;1
353788.8;7635564.2;1
353791.5;7635575.5;1
353794.1;7635578.2;1
353797;7635583.1;1
353804.5;7635610.1;1
353810.4;7635629.8;1
353808.4;7635635.5;1
353800.9;7635642.6;1
353794.9;7635642.2;1
353791.4;7635634.1;1
353786.4;7635631.8;1
353782.5;7635632.6;1
353779.5;7635643.9;1
353782.4;7635645;1
353784.2;7635647.6;1
353784.6;7635650.7;1
353782.6;7635654.4;1
353784.7;7635671.6;1
353781;7635677.7;1
353780.5;7635682;1
353781.5;7635686.8;1
353781.7;7635693;1
353780.4;7635697.9;1
353781.1;7635702.7;1
353782.7;7635706.4;1
353783.7;7635713.6;1
353784.9;7635717.1;1
353783.6;7635728.9;1
353780.5;7635742.6;1
353776.4;7635752.9;1
353766.4;7635769.5;1
353753.8;7635778.7;1
353743.1;7635778.9;1
353731.6;7635777.3;1
353717.1;7635775.1;1
353708.9;7635772;1
